level,order,title,author,publisher
3A,29,三びきのやぎのがらがらどん,ブラウン・絵 せたていじ・訳,福音館書店
3A,30,せんろはつづく,竹下文子 鈴木まもる・絵,金の星社
3A,31,おばけのバーバパパ,チゾン／テイラー やましたはるお・訳,偕成社
3A,32,ノラネコぐんだんパンこうじょう,工藤ノリコ,白泉社
3A,33,くれよんのはなし,フリーマン さいおんじさちこ・訳,ほるぷ出版
3A,34,ゆきのひ,キーツ きじまはじめ・訳,偕成社
3A,35,こんたのおつかい,田中友佳子,徳間書店
3A,36,いたずらコヨーテ キュウ,どいかや,出版
3A,37,かみひこうき,小林実 林明子・絵,福音館書店
3A,38,もくもくやかん,かがくいひろし,講談社
3A,39,ひとあしひとあし,レオニ 谷川俊太郎・訳,好学社
3A,40,トマトさん,田中清代,福音館書店
3A,41,しゅっぱつしんこう ！,山本忠敬,福音館書店
3A,42,ラチとらいおん,ベロニカ とくながやすもと・訳,福音館書店
3A,43,なにをかこうかな,レイ 中川健蔵・訳,文化出版局
3A,44,あ,大槻あかね,福音館書店
3A,45,さくら,長谷川摂子 矢間芳子・絵,福音館書店
3A,46,ガンピーさんのドライブ,バーニンガム みつよしなつや・訳,ほるぷ出版
3A,47,もったいないばあさん,真珠まりこ,講談社
3A,48,だるまちゃんとてんぐちゃん,加古里子,福音館書店
3A,49,あいうえおうさま,寺村輝夫 和歌山静子・絵,理論社
3A,50,おたすけこびと,なかがわちひろ コヨセ・ジュンジ・絵,徳間書店
2A,1,ぐりとぐら,なかがわりえこ おおむらゆりこ・絵,福音館書店
2A,2,そらまめくんのベッド,なかやみわ,福音館書店
2A,3,うえきやのくまさん,ウォージントン まさきるりこ・訳,福音館書店
2A,4,くっきーだあいすき,間所ひさこ 岩村和朗・絵,金の星社
2A,5,キャベツくん,長新太,文研出版
2A,6,かえりみち,あまんきみこ 西巻茅子・絵,童心社
2A,7,ぽんぽん山の月,あまんきみこ 渡辺洋二・絵,文研出版
2A,8,パンどろぼう,柴田ケイコ,KADOKAWA
2A,9,わたしとあそんで,エッツ よだじゅんいち・訳,福音館書店
2A,10,りんごのき,ペチシカ ズマトリーコバー・絵,福音館書店
2A,11,３びきのくま,トルストイ バスネツォフ・絵,福音館書店
2A,12,たべられるしょくぶつ,森谷憲 寺島龍一・絵,福音館書店
2A,13,ゆうちゃんのゆうは？,かんざわとしこ たばたせいいち・絵,童心社
2A,14,まっくろネリノ,ガルラー やがわすみこ・訳,偕成社
2A,15,ぼくのかえりみち,ひがしちから,出版
2A,16,グリーンマントのピーマンマン,さくらともこ 中村景児・絵,岩崎書店
2A,17,しっぽのはたらき,川田健 藪内正幸・絵,福音館書店
2A,18,すいかのたね,さとうわきこ,福音館書店
2A,19,じゃむじゃむどんくまさん,蔵冨千鶴子 柿本幸造・絵,至光社
2A,20,はじめてのおるすばん,しみずみちを 山本まつ子・絵,岩崎書店
2A,21,すてきな三にんぐみ,アンゲラー いまえよしとも・訳,偕成社
2A,22,さむがりやのサンタ,ブリッグズ すがはらひろくに・訳,福音館書店
2A,23,おなら,長新太,福音館書店
2A,24,ふたりはふたご,田島征彦・田島征三,くもん出版
2A,25,バルバルさん,乾栄里子 西村敏雄・絵,福音館書店
2A,26,おかしなゆきふしぎなこおり,片平孝,ポプラ社
2A,27,そらいろのたね,なかがわりえこ おおむらゆりこ・絵,福音館書店
2A,28,まあちゃんのながいかみ,たかどのほうこ,福音館書店
2A,29,どろんこハリー,ジオン グレアム・絵,福音館書店
2A,30,もりのなか,エッツ まさきるりこ・訳,福音館書店
2A,31,おおきなおおきなおいも,市村久子・原案 赤羽末吉・絵,福音館書店
2A,32,3だいの機関車,オードリー ダルビー・絵,ポプラ社
2A,33,かいじゅうたちのいるところ,センダック じんぐうてるお・訳,冨山房
2A,34,げんきなマドレーヌ,ベーメルマンス 瀬田貞二・訳,福音館書店
